ADDRESS,PRICE,BEDROOMS
1 Acorn Place,565000,4
1 Addis Way,365000,3
1 Ainsley Court,287000,3
1 Albert Street,255000,2
1 Aman Place,325000,4
1 Amethyst Crescent,409000,4
1 Ardara Lane,400000,3
1 Arnside Bend,370000,4
1 Arrochar Court,565000,4
1 Arundel Street,685000,3
1 Ash Road,675000,4
1 Ashcott Gate,367500,3
1 Ashcroft Way,300000,3
1 Ashendon Boulevard,535000,4
1 Ashtree Boulevard,540000,4
1 August Court,685000,3
1 Avonlea Place,350000,4
1 Babbler Court,570000,4
1 Balga Place,318000,2
1 Bamlett Street,379000,3
1 Banken Court,387500,4
1 Barcroft Court,465000,4
1 Bates Loop,325000,3
1 Batoni Way,515000,3
1 Bayley Street,610000,3
1 Beach Street,1950000,5
1 Beacon Way,420000,4
1 Beenan Elbow,347500,3
1 Belfry Way,492000,4
1 Bell Court,201000,3
1 Bellata Place,275000,3
1 Bellier Place,410000,4
1 Belmont Close,315000,4
1 Belvedere Rise,795000,4
1 Benowa Drive,600000,4
1 Bianco Place,400000,4
1 Bignell Place,350000,3
1 Bindoon Close,835000,4
1 Binnia Mews,482000,4
1 Binns Court,1260000,3
1 Bishops Close,405000,3
1 Bittern Close,465000,3
1 Blato Place,560000,5
1 Bohemia Way,380000,3
1 Boncath Road,360000,3
1 Bonita Way,540000,4
1 Boronia Court,420000,3
1 Borough Road,330000,4
1 Bourke Street,705000,3
1 Bowood Cove,615000,4
1 Bradbury Road,565000,3
1 Bradford Street,850000,3
1 Bradstocks Grove,780000,4
1 Bramley Way,520000,3
1 Brassey Street,1100000,3
1 Brentwood Way,590000,5
1 Brilliant Rise,312000,4
1 Briston Place,900000,3
1 Bristow Street,177000,3
1 Brittain Avenue,580000,4
1 Brix Street,1310000,4
1 Brixton Road,470000,3
1 Bruning Road,717000,3
1 Buckie Court,650000,4
1 Bull Place,387000,4
1 Bynder Lane,330000,3
1 Cabarita Road,605000,2
1 Cadiz Way,380000,3
1 Caladenia Way,85000,2
1 Cam Court,345000,3
1 Camden Boulevard,528000,4
1 Cameron Street,1350000,4
1 Camira Place,735000,4
1 Camrose Lane,442500,4
1 Canarias Way,1015000,3
1 Cannon Court,530000,3
1 Canny Road,515000,3
1 Carnegie Road,1100000,4
1 Carroll Street,1265000,4
1 Cartland Court,750000,4
1 Caterpillar Road,472500,4
1 Caxton Lane,392500,4
1 Centaur Circle,900000,4
1 Cessford Close,380000,5
1 Challenger Avenue,590000,3
1 Chamberlain Circle,835000,4
1 Charleston Road,495000,4
1 Chauvel Court,390000,4
1 Chester Court,280000,3
1 Chiddington Street,355000,3
1 Chipala Court,465000,4
1 Citrus Loop,372000,3
1 Claret Ash Court,685000,4
1 Clarke Street,360000,3
1 Clearwater Way,320000,4
1 Clifford Loop,492000,3
1 Cliverton Court,974000,5
1 Clovertree Street,435000,4
1 Cobea Court,900000,3
1 Cockman Road,405000,3
1 Cohen Place,290000,3
1 Collier Street,1160000,2
1 Colmworth Way,415000,3
1 Colonial Mews,525000,4
1 Conical Way,629000,4
1 Convallis Vista,600000,4
1 Corbin Gate,427000,3
1 Coronado Ridge,1015000,5
1 Corvette Close,445000,4
1 Craigie Place,610000,4
1 Crest Grove,465000,4
1 Creswick Cross,454000,4
1 Criollo Place,380000,3
1 Crivelli Parkway,382000,4
1 Crowley Vista,1150000,4
1 Curruthers Road,2200000,2
1 Cypress Mews,375000,4
1 Dagostino Road,495000,4
1 Dalkey Way,445000,3
1 Danzil Street,515000,4
1 Datchet Turn,270000,3
1 David Street,780000,5
1 Davis Court,1280000,4
1 Daybreak Loop,410000,4
1 Dean Place,425000,4
1 Dean Road,599900,3
1 Delphi Court,1330000,3
1 Denton Street,732000,3
1 Dermer Road,530000,3
1 Deverell Way,465000,3
1 Dilkera Place,380000,3
1 Dirk Hartog Road,572000,3
1 Discovery Circuit,1300000,5
1 Disney Street,710250,4
1 Dolomite Road,835000,5
1 Dolphin Way,400000,3
1 Doradeen Close,275000,3
1 Doram Court,335000,3
1 Driftwood Way,400000,4
1 Driver Road,532000,4
1 Dunbar Road,1700000,3
1 Durant Way,820000,3
1 Dutton Way,385000,3
1 Duxford Street,427000,4
1 East Street,660000,2
1 Eastfield Court,250000,3
1 Easton Court,508000,4
1 Edelweiss Way,415000,4
1 Edgecombe Pass,550000,4
1 El Porto Way,935000,4
1 Elfin Grove,380000,3
1 Elvire Street,349000,2
1 Empress Crescent,470000,4
1 Epping Court,475000,4
1 Ericht Pass,577500,4
1 Estevan Way,490000,4
1 Ethel Street,715000,4
1 Etna Place,1100000,4
1 Eudora Way,1130000,4
1 Facey Road,340000,4
1 Fairetha Court,720000,4
1 Fairhaven Terrace,1075000,4
1 Fallow Crescent,475000,4
1 Fantail Drive,545000,4
1 Farrington Street,317500,4
1 Federal Street,465000,3
1 Felpham Court,449000,4
1 Ferguson Road,150000,4
1 Ficarra Way,450000,4
1 First Avenue,525000,3
1 Fischer Road,900000,4
1 Flello Rise,950000,4
1 Flemington Way,375000,3
